,0
-200,19
-199,33
-198,19
-197,22
-196,26
-195,20
-194,23
-193,24
-192,25
-191,20
-190,18
-189,23
-188,20
-187,15
-186,15
-185,23
-184,16
-183,14
-182,21
-181,27
-180,21
-179,21
-178,17
-177,18
-176,18
-175,18
-174,28
-173,25
-172,27
-171,20
-170,20
-169,23
-168,17
-167,23
-166,23
-165,20
-164,26
-163,25
-162,20
-161,26
-160,15
-159,17
-158,24
-157,15
-156,20
-155,26
-154,23
-153,22
-152,26
-151,21
-150,14
-149,16
-148,16
-147,21
-146,28
-145,27
-144,18
-143,18
-142,19
-141,25
-140,22
-139,30
-138,22
-137,24
-136,22
-135,24
-134,31
-133,25
-132,15
-131,28
-130,25
-129,24
-128,35
-127,18
-126,28
-125,27
-124,13
-123,25
-122,32
-121,29
-120,27
-119,21
-118,25
-117,17
-116,22
-115,21
-114,25
-113,38
-112,26
-111,25
-110,33
-109,22
-108,25
-107,33
-106,20
-105,19
-104,25
-103,14
-102,22
-101,22
-100,33
-99,29
-98,16
-97,17
-96,18
-95,27
-94,21
-93,27
-92,26
-91,25
-90,31
-89,38
-88,25
-87,22
-86,36
-85,24
-84,27
-83,27
-82,17
-81,35
-80,19
-79,20
-78,29
-77,36
-76,31
-75,22
-74,25
-73,23
-72,32
-71,27
-70,23
-69,20
-68,33
-67,25
-66,22
-65,29
-64,22
-63,18
-62,26
-61,31
-60,30
-59,17
-58,19
-57,18
-56,28
-55,20
-54,23
-53,21
-52,25
-51,25
-50,26
-49,18
-48,27
-47,16
-46,22
-45,24
-44,35
-43,23
-42,19
-41,16
-40,21
-39,13
-38,18
-37,16
-36,18
-35,27
-34,22
-33,22
-32,16
-31,26
-30,29
-29,27
-28,26
-27,22
-26,25
-25,34
-24,26
-23,32
-22,33
-21,31
-20,28
-19,23
-18,24
-17,36
-16,37
-15,38
-14,29
-13,22
-12,22
-11,49
-10,56
-9,82
-8,85
-7,28
-6,26
-5,27
-4,15
-3,61
-2,0
-1,0
