,0
1,2
2,9
3,5
4,7
5,4
6,7
7,6
8,5
9,8
10,7
11,5
12,6
13,4
14,5
15,9
16,2
17,4
18,5
19,5
20,6
21,3
22,5
23,4
24,8
25,4
26,5
27,8
28,7
29,8
30,3
31,5
32,7
33,6
34,2
35,4
36,8
37,10
38,8
39,7
40,5
41,6
42,4
43,3
44,2
45,11
46,5
47,4
48,4
49,5
50,2
51,10
52,7
53,6
54,10
55,1
56,4
57,1
58,4
59,4
60,10
61,5
62,4
63,5
64,6
65,10
66,3
67,6
68,7
69,3
70,4
71,3
72,6
73,7
74,2
75,6
76,6
77,10
78,9
79,3
80,7
81,1
82,3
83,8
84,4
85,7
86,7
87,5
88,4
89,11
90,6
91,9
92,8
93,3
94,3
95,9
96,4
97,6
98,7
99,4
100,3
101,4
102,11
103,7
104,4
105,8
106,9
107,6
108,6
109,4
110,7
111,5
112,3
113,7
114,7
115,2
116,5
117,9
118,6
119,5
120,13
121,4
122,9
123,4
124,1
125,7
126,6
127,6
128,7
129,3
130,7
131,8
132,5
133,6
134,3
135,5
136,6
137,3
138,4
139,5
140,6
141,8
142,2
143,6
144,7
145,7
146,6
147,9
148,6
149,8
150,8
151,5
152,6
153,10
154,6
155,7
156,7
157,3
158,7
159,8
160,7
161,12
162,5
163,3
164,8
165,2
166,1
167,10
168,5
169,8
170,3
171,9
172,9
173,7
174,6
175,3
176,9
177,9
178,6
179,7
180,8
181,0
182,2
183,6
184,5
185,5
186,4
187,2
188,5
189,9
190,6
191,10
192,4
193,6
194,8
195,7
196,7
197,3
198,5
199,2
200,4
