,0
1,22
2,49
3,30
4,35
5,43
6,41
7,28
8,35
9,33
10,26
11,31
12,33
13,33
14,36
15,33
16,24
17,37
18,46
19,26
20,38
21,29
22,16
23,38
24,31
25,20
26,31
27,29
28,23
29,25
30,23
31,20
32,35
33,33
34,29
35,21
36,18
37,23
38,29
39,25
40,32
41,28
42,22
43,32
44,28
45,25
46,19
47,22
48,17
49,17
50,24
51,19
52,23
53,32
54,18
55,25
56,20
57,34
58,29
59,28
60,33
61,19
62,34
63,23
64,17
65,30
66,18
67,20
68,26
69,29
70,32
71,21
72,20
73,20
74,33
75,34
76,29
77,22
78,24
79,26
80,16
81,26
82,26
83,32
84,27
85,29
86,22
87,23
88,14
89,23
90,25
91,25
92,26
93,26
94,13
95,25
96,35
97,24
98,25
99,31
100,20
101,32
102,32
103,24
104,22
105,28
106,27
107,28
108,35
109,25
110,38
111,29
112,21
113,29
114,28
115,29
116,26
117,25
118,24
119,23
120,27
121,28
122,25
123,23
124,23
125,28
126,24
127,34
128,35
129,26
130,22
131,21
132,31
133,28
134,18
135,25
136,28
137,31
138,31
139,24
140,26
141,32
142,24
143,33
144,19
145,33
146,25
147,23
148,22
149,27
150,28
151,17
152,33
153,24
154,25
155,26
156,26
157,24
158,21
159,32
160,28
161,21
162,25
163,26
164,34
165,26
166,27
167,22
168,38
169,21
170,34
171,28
172,30
173,28
174,30
175,23
176,33
177,38
178,22
179,23
180,36
181,17
182,34
183,30
184,22
185,34
186,29
187,36
188,27
189,26
190,29
191,25
192,23
193,21
194,35
195,39
196,28
197,27
198,37
199,23
200,37
