,0
-200,29
-199,20
-198,34
-197,30
-196,32
-195,27
-194,24
-193,12
-192,23
-191,35
-190,27
-189,18
-188,24
-187,21
-186,20
-185,26
-184,19
-183,22
-182,16
-181,26
-180,26
-179,28
-178,15
-177,23
-176,34
-175,20
-174,37
-173,23
-172,23
-171,23
-170,25
-169,20
-168,23
-167,38
-166,23
-165,23
-164,23
-163,23
-162,30
-161,33
-160,31
-159,25
-158,26
-157,19
-156,19
-155,27
-154,23
-153,18
-152,22
-151,10
-150,20
-149,15
-148,24
-147,21
-146,29
-145,17
-144,29
-143,29
-142,15
-141,19
-140,27
-139,21
-138,20
-137,21
-136,20
-135,25
-134,25
-133,20
-132,23
-131,35
-130,23
-129,17
-128,24
-127,23
-126,14
-125,30
-124,19
-123,15
-122,29
-121,15
-120,10
-119,26
-118,21
-117,21
-116,13
-115,23
-114,23
-113,30
-112,26
-111,14
-110,26
-109,19
-108,21
-107,21
-106,24
-105,24
-104,23
-103,21
-102,22
-101,18
-100,21
-99,22
-98,18
-97,18
-96,16
-95,28
-94,23
-93,19
-92,26
-91,25
-90,22
-89,27
-88,22
-87,28
-86,25
-85,17
-84,23
-83,21
-82,19
-81,21
-80,24
-79,21
-78,15
-77,25
-76,15
-75,20
-74,28
-73,19
-72,20
-71,18
-70,16
-69,22
-68,26
-67,20
-66,15
-65,25
-64,24
-63,20
-62,26
-61,19
-60,18
-59,21
-58,26
-57,19
-56,26
-55,20
-54,22
-53,27
-52,18
-51,11
-50,23
-49,18
-48,22
-47,30
-46,13
-45,16
-44,27
-43,20
-42,16
-41,21
-40,12
-39,24
-38,17
-37,22
-36,21
-35,31
-34,25
-33,12
-32,19
-31,14
-30,28
-29,19
-28,18
-27,25
-26,25
-25,13
-24,10
-23,19
-22,9
-21,18
-20,15
-19,19
-18,26
-17,28
-16,27
-15,48
-14,47
-13,58
-12,53
-11,38
-10,42
-9,56
-8,44
-7,27
-6,29
-5,37
-4,19
-3,5
-2,8
-1,0
