,0
1,19
2,17
3,12
4,21
5,10
6,14
7,6
8,16
9,8
10,10
11,12
12,7
13,7
14,10
15,13
16,8
17,9
18,11
19,11
20,7
21,15
22,7
23,6
24,13
25,10
26,6
27,9
28,11
29,9
30,8
31,6
32,10
33,13
34,11
35,11
36,14
37,14
38,11
39,8
40,8
41,13
42,5
43,8
44,10
45,6
46,14
47,12
48,12
49,11
50,8
51,15
52,10
53,7
54,19
55,10
56,19
57,9
58,11
59,9
60,13
61,15
62,14
63,11
64,11
65,14
66,8
67,15
68,17
69,17
70,12
71,18
72,10
73,11
74,12
75,10
76,10
77,9
78,8
79,11
80,8
81,11
82,16
83,5
84,13
85,12
86,9
87,11
88,15
89,13
90,14
91,12
92,17
93,9
94,11
95,8
96,19
97,11
98,16
99,7
100,14
101,16
102,11
103,10
104,18
105,13
106,10
107,20
108,14
109,14
110,13
111,17
112,11
113,10
114,16
115,19
116,27
117,15
118,18
119,14
120,9
121,13
122,15
123,15
124,18
125,16
126,20
127,8
128,11
129,16
130,17
131,14
132,20
133,13
134,14
135,12
136,9
137,12
138,18
139,10
140,11
141,11
142,10
143,13
144,11
145,13
146,16
147,20
148,15
149,15
150,21
151,15
152,14
153,13
154,15
155,23
156,17
157,14
158,11
159,19
160,13
161,13
162,18
163,12
164,17
165,20
166,6
167,13
168,17
169,12
170,17
171,7
172,11
173,17
174,14
175,6
176,7
177,21
178,16
179,17
180,18
181,8
182,11
183,14
184,13
185,18
186,8
187,11
188,15
189,21
190,18
191,12
192,11
193,8
194,18
195,14
196,14
197,15
198,13
199,15
200,16
