,0
1,18
2,46
3,43
4,43
5,38
6,39
7,35
8,40
9,30
10,27
11,26
12,40
13,37
14,29
15,39
16,40
17,40
18,44
19,36
20,35
21,38
22,33
23,20
24,28
25,28
26,33
27,26
28,20
29,20
30,33
31,22
32,25
33,34
34,26
35,18
36,15
37,24
38,22
39,19
40,23
41,20
42,31
43,26
44,25
45,20
46,26
47,19
48,23
49,25
50,27
51,26
52,25
53,21
54,25
55,28
56,23
57,26
58,23
59,23
60,39
61,24
62,16
63,33
64,24
65,20
66,20
67,26
68,29
69,46
70,29
71,25
72,24
73,20
74,22
75,28
76,32
77,25
78,28
79,22
80,22
81,27
82,18
83,27
84,23
85,24
86,31
87,32
88,22
89,23
90,36
91,22
92,41
93,29
94,15
95,34
96,25
97,49
98,28
99,26
100,24
101,18
102,26
103,23
104,30
105,19
106,28
107,34
108,24
109,33
110,24
111,24
112,36
113,27
114,20
115,20
116,32
117,21
118,29
119,27
120,29
121,29
122,40
123,18
124,24
125,27
126,23
127,22
128,24
129,30
130,32
131,35
132,25
133,22
134,21
135,21
136,24
137,29
138,19
139,24
140,36
141,34
142,25
143,29
144,18
145,18
146,24
147,24
148,23
149,24
150,26
151,20
152,26
153,15
154,19
155,28
156,29
157,28
158,19
159,21
160,29
161,23
162,31
163,32
164,26
165,26
166,28
167,36
168,32
169,29
170,21
171,26
172,19
173,25
174,27
175,22
176,35
177,31
178,21
179,26
180,28
181,32
182,25
183,36
184,23
185,28
186,38
187,28
188,29
189,31
190,21
191,32
192,33
193,22
194,29
195,28
196,24
197,28
198,36
199,21
200,30
