,0
-200,8
-199,9
-198,5
-197,13
-196,10
-195,12
-194,11
-193,7
-192,10
-191,12
-190,6
-189,16
-188,15
-187,11
-186,5
-185,13
-184,9
-183,9
-182,16
-181,12
-180,7
-179,7
-178,9
-177,10
-176,10
-175,5
-174,5
-173,10
-172,20
-171,10
-170,10
-169,7
-168,9
-167,4
-166,7
-165,11
-164,11
-163,12
-162,9
-161,6
-160,5
-159,17
-158,11
-157,11
-156,10
-155,12
-154,6
-153,10
-152,6
-151,14
-150,15
-149,12
-148,5
-147,4
-146,9
-145,6
-144,10
-143,10
-142,8
-141,6
-140,15
-139,7
-138,14
-137,11
-136,3
-135,8
-134,10
-133,17
-132,10
-131,7
-130,9
-129,9
-128,13
-127,3
-126,8
-125,13
-124,6
-123,9
-122,10
-121,12
-120,11
-119,12
-118,7
-117,11
-116,8
-115,10
-114,12
-113,10
-112,5
-111,10
-110,12
-109,7
-108,8
-107,10
-106,14
-105,12
-104,6
-103,6
-102,11
-101,14
-100,5
-99,11
-98,16
-97,10
-96,7
-95,12
-94,7
-93,6
-92,10
-91,4
-90,9
-89,10
-88,6
-87,5
-86,5
-85,6
-84,7
-83,4
-82,11
-81,10
-80,15
-79,11
-78,9
-77,13
-76,14
-75,8
-74,11
-73,12
-72,8
-71,5
-70,7
-69,7
-68,10
-67,9
-66,6
-65,10
-64,13
-63,11
-62,12
-61,5
-60,9
-59,8
-58,9
-57,11
-56,11
-55,9
-54,8
-53,13
-52,6
-51,11
-50,10
-49,7
-48,12
-47,16
-46,14
-45,7
-44,7
-43,9
-42,5
-41,18
-40,7
-39,9
-38,13
-37,10
-36,5
-35,13
-34,10
-33,11
-32,14
-31,14
-30,3
-29,5
-28,6
-27,7
-26,8
-25,9
-24,4
-23,12
-22,6
-21,13
-20,11
-19,8
-18,7
-17,23
-16,16
-15,33
-14,38
-13,27
-12,41
-11,23
-10,24
-9,8
-8,18
-7,11
-6,34
-5,11
-4,6
-3,6
-2,1
-1,0
