,0
1,37
2,62
3,68
4,45
5,42
6,64
7,62
8,48
9,79
10,36
11,49
12,55
13,53
14,62
15,59
16,50
17,58
18,60
19,52
20,60
21,46
22,59
23,47
24,44
25,47
26,48
27,47
28,37
29,43
30,43
31,45
32,52
33,49
34,50
35,35
36,45
37,45
38,40
39,45
40,35
41,50
42,41
43,46
44,34
45,29
46,35
47,40
48,48
49,31
50,66
51,42
52,46
53,42
54,42
55,41
56,51
57,51
58,43
59,51
60,61
61,46
62,44
63,45
64,40
65,39
66,57
67,40
68,50
69,46
70,42
71,55
72,46
73,49
74,70
75,47
76,45
77,58
78,28
79,44
80,35
81,49
82,44
83,45
84,52
85,45
86,49
87,52
88,37
89,48
90,55
91,44
92,43
93,57
94,39
95,63
96,55
97,37
98,51
99,61
100,38
101,44
102,52
103,46
104,32
105,57
106,43
107,47
108,46
109,40
110,60
111,45
112,37
113,35
114,49
115,47
116,51
117,48
118,57
119,55
120,52
121,53
122,55
123,70
124,53
125,47
126,52
127,37
128,55
129,47
130,46
131,54
132,42
133,50
134,48
135,43
136,49
137,57
138,42
139,45
140,49
141,50
142,37
143,33
144,51
145,49
146,51
147,48
148,41
149,55
150,51
151,47
152,46
153,52
154,51
155,44
156,39
157,47
158,52
159,54
160,46
161,54
162,44
163,43
164,44
165,51
166,28
167,61
168,67
169,42
170,45
171,55
172,46
173,50
174,54
175,53
176,68
177,58
178,47
179,43
180,62
181,60
182,65
183,55
184,46
185,46
186,56
187,35
188,52
189,41
190,52
191,40
192,57
193,52
194,64
195,56
196,56
197,48
198,0
199,0
200,0
