,0
1,29
2,62
3,48
4,49
5,35
6,43
7,48
8,28
9,40
10,29
11,42
12,36
13,42
14,27
15,39
16,29
17,38
18,38
19,33
20,49
21,34
22,33
23,41
24,47
25,39
26,32
27,39
28,34
29,42
30,37
31,35
32,44
33,39
34,31
35,29
36,36
37,38
38,39
39,33
40,19
41,34
42,31
43,29
44,39
45,36
46,36
47,33
48,36
49,30
50,34
51,43
52,40
53,38
54,27
55,39
56,31
57,27
58,32
59,24
60,38
61,41
62,47
63,42
64,32
65,37
66,32
67,30
68,31
69,24
70,33
71,37
72,32
73,27
74,43
75,40
76,25
77,38
78,32
79,42
80,38
81,39
82,30
83,33
84,37
85,36
86,46
87,42
88,47
89,43
90,26
91,33
92,34
93,37
94,34
95,37
96,28
97,37
98,40
99,55
100,27
101,32
102,35
103,45
104,29
105,40
106,40
107,37
108,43
109,32
110,40
111,44
112,31
113,40
114,44
115,35
116,36
117,49
118,38
119,51
120,46
121,40
122,42
123,35
124,30
125,32
126,37
127,41
128,40
129,44
130,51
131,43
132,42
133,37
134,40
135,35
136,30
137,38
138,43
139,34
140,41
141,29
142,42
143,42
144,40
145,41
146,54
147,39
148,32
149,47
150,39
151,43
152,33
153,38
154,39
155,45
156,35
157,40
158,43
159,31
160,31
161,49
162,33
163,26
164,41
165,50
166,52
167,38
168,41
169,45
170,52
171,43
172,29
173,37
174,25
175,43
176,40
177,33
178,34
179,42
180,37
181,39
182,33
183,39
184,46
185,48
186,41
187,36
188,33
189,47
190,44
191,39
192,36
193,48
194,33
195,41
196,49
197,44
198,41
199,46
200,26
