,0
-200,26
-199,17
-198,12
-197,19
-196,19
-195,19
-194,17
-193,20
-192,22
-191,17
-190,21
-189,16
-188,23
-187,21
-186,27
-185,19
-184,12
-183,32
-182,29
-181,26
-180,24
-179,19
-178,15
-177,13
-176,11
-175,23
-174,19
-173,18
-172,15
-171,28
-170,23
-169,25
-168,25
-167,21
-166,26
-165,24
-164,19
-163,21
-162,20
-161,18
-160,21
-159,29
-158,17
-157,18
-156,17
-155,21
-154,31
-153,18
-152,17
-151,15
-150,27
-149,15
-148,15
-147,21
-146,21
-145,18
-144,28
-143,21
-142,20
-141,15
-140,16
-139,14
-138,23
-137,20
-136,27
-135,18
-134,25
-133,20
-132,29
-131,18
-130,19
-129,27
-128,16
-127,29
-126,32
-125,18
-124,19
-123,24
-122,22
-121,19
-120,22
-119,16
-118,26
-117,18
-116,19
-115,25
-114,23
-113,17
-112,15
-111,13
-110,17
-109,22
-108,20
-107,14
-106,15
-105,18
-104,18
-103,14
-102,16
-101,22
-100,14
-99,17
-98,20
-97,15
-96,18
-95,16
-94,25
-93,15
-92,18
-91,21
-90,17
-89,10
-88,17
-87,19
-86,14
-85,14
-84,17
-83,25
-82,17
-81,23
-80,17
-79,20
-78,13
-77,28
-76,20
-75,22
-74,24
-73,16
-72,14
-71,11
-70,13
-69,25
-68,24
-67,14
-66,15
-65,11
-64,17
-63,19
-62,9
-61,20
-60,17
-59,17
-58,14
-57,26
-56,16
-55,22
-54,24
-53,11
-52,20
-51,15
-50,21
-49,24
-48,20
-47,19
-46,25
-45,24
-44,17
-43,23
-42,13
-41,16
-40,20
-39,10
-38,14
-37,13
-36,19
-35,13
-34,24
-33,9
-32,14
-31,16
-30,21
-29,18
-28,13
-27,23
-26,12
-25,20
-24,15
-23,13
-22,9
-21,17
-20,12
-19,15
-18,28
-17,10
-16,8
-15,9
-14,11
-13,10
-12,17
-11,12
-10,16
-9,17
-8,17
-7,24
-6,22
-5,26
-4,15
-3,26
-2,11
-1,117
