,0
1,4
2,12
3,18
4,7
5,11
6,10
7,12
8,15
9,11
10,16
11,10
12,9
13,8
14,7
15,14
16,16
17,17
18,16
19,8
20,10
21,13
22,11
23,10
24,24
25,14
26,14
27,13
28,10
29,12
30,17
31,11
32,9
33,11
34,13
35,12
36,19
37,14
38,13
39,16
40,12
41,15
42,18
43,14
44,7
45,13
46,5
47,16
48,16
49,13
50,10
51,15
52,12
53,12
54,7
55,8
56,11
57,14
58,11
59,12
60,10
61,8
62,13
63,19
64,13
65,11
66,18
67,10
68,14
69,17
70,9
71,16
72,15
73,12
74,10
75,14
76,10
77,9
78,10
79,8
80,11
81,18
82,13
83,11
84,18
85,16
86,12
87,15
88,11
89,17
90,19
91,11
92,9
93,18
94,18
95,13
96,9
97,11
98,10
99,13
100,13
101,5
102,15
103,7
104,8
105,21
106,19
107,12
108,10
109,11
110,13
111,19
112,20
113,15
114,20
115,18
116,9
117,16
118,18
119,12
120,15
121,19
122,12
123,10
124,17
125,8
126,18
127,11
128,7
129,12
130,14
131,16
132,18
133,13
134,13
135,21
136,18
137,15
138,16
139,12
140,17
141,16
142,20
143,11
144,19
145,6
146,11
147,16
148,18
149,18
150,18
151,15
152,20
153,21
154,15
155,10
156,16
157,16
158,11
159,20
160,15
161,18
162,16
163,11
164,13
165,10
166,15
167,17
168,15
169,18
170,13
171,23
172,8
173,19
174,15
175,17
176,13
177,15
178,16
179,11
180,17
181,8
182,11
183,10
184,12
185,5
186,23
187,15
188,12
189,21
190,19
191,14
192,17
193,11
194,17
195,19
196,13
197,16
198,17
199,18
200,15
