,0
1,27
2,35
3,18
4,23
5,25
6,25
7,23
8,30
9,21
10,20
11,19
12,20
13,20
14,30
15,25
16,15
17,20
18,28
19,27
20,28
21,21
22,20
23,27
24,30
25,12
26,21
27,25
28,28
29,24
30,20
31,18
32,19
33,21
34,27
35,15
36,21
37,27
38,19
39,25
40,20
41,18
42,19
43,20
44,16
45,20
46,13
47,23
48,20
49,26
50,12
51,21
52,19
53,11
54,21
55,20
56,24
57,20
58,16
59,21
60,11
61,14
62,19
63,16
64,19
65,22
66,22
67,17
68,18
69,18
70,28
71,20
72,16
73,11
74,32
75,26
76,20
77,17
78,14
79,12
80,24
81,21
82,15
83,27
84,19
85,20
86,35
87,22
88,14
89,20
90,16
91,25
92,18
93,17
94,24
95,15
96,15
97,17
98,27
99,26
100,25
101,23
102,24
103,17
104,12
105,22
106,17
107,32
108,21
109,20
110,24
111,19
112,18
113,20
114,20
115,23
116,23
117,17
118,16
119,26
120,26
121,20
122,17
123,17
124,20
125,15
126,16
127,14
128,19
129,21
130,22
131,21
132,19
133,16
134,19
135,18
136,22
137,26
138,23
139,20
140,19
141,27
142,27
143,6
144,17
145,20
146,22
147,17
148,27
149,22
150,19
151,18
152,26
153,17
154,15
155,22
156,15
157,19
158,26
159,16
160,17
161,27
162,18
163,24
164,17
165,19
166,17
167,19
168,21
169,19
170,21
171,18
172,30
173,12
174,21
175,23
176,24
177,15
178,28
179,18
180,25
181,19
182,19
183,33
184,19
185,24
186,23
187,18
188,25
189,21
190,21
191,19
192,21
193,23
194,24
195,16
196,29
197,30
198,18
199,22
200,24
