,0
1,8
2,14
3,15
4,16
5,5
6,10
7,12
8,11
9,8
10,12
11,10
12,10
13,7
14,13
15,13
16,9
17,9
18,15
19,19
20,8
21,11
22,12
23,9
24,12
25,12
26,8
27,16
28,10
29,10
30,7
31,8
32,7
33,14
34,10
35,5
36,16
37,8
38,10
39,15
40,8
41,6
42,9
43,4
44,10
45,8
46,12
47,10
48,13
49,7
50,10
51,12
52,8
53,8
54,13
55,13
56,12
57,13
58,14
59,12
60,8
61,9
62,13
63,12
64,17
65,7
66,9
67,16
68,12
69,10
70,12
71,13
72,20
73,12
74,8
75,11
76,12
77,14
78,13
79,15
80,10
81,14
82,13
83,13
84,8
85,14
86,16
87,12
88,7
89,5
90,12
91,9
92,9
93,9
94,9
95,9
96,6
97,16
98,12
99,14
100,8
101,10
102,9
103,20
104,7
105,10
106,10
107,9
108,13
109,12
110,8
111,5
112,14
113,13
114,6
115,13
116,14
117,11
118,12
119,8
120,16
121,12
122,15
123,9
124,17
125,10
126,9
127,16
128,10
129,13
130,16
131,11
132,11
133,7
134,11
135,15
136,10
137,17
138,18
139,15
140,14
141,15
142,11
143,7
144,11
145,12
146,10
147,27
148,10
149,10
150,13
151,15
152,16
153,9
154,8
155,14
156,14
157,9
158,12
159,12
160,11
161,11
162,11
163,13
164,12
165,16
166,16
167,18
168,15
169,18
170,11
171,10
172,16
173,13
174,7
175,9
176,8
177,15
178,13
179,18
180,17
181,6
182,15
183,12
184,7
185,19
186,15
187,10
188,19
189,12
190,9
191,14
192,18
193,14
194,12
195,13
196,13
197,8
198,14
199,14
200,11
