,0
-200,16
-199,19
-198,14
-197,15
-196,19
-195,10
-194,12
-193,9
-192,6
-191,13
-190,19
-189,8
-188,25
-187,17
-186,17
-185,13
-184,13
-183,13
-182,13
-181,18
-180,16
-179,15
-178,10
-177,8
-176,26
-175,10
-174,13
-173,11
-172,9
-171,16
-170,16
-169,9
-168,17
-167,13
-166,17
-165,11
-164,17
-163,14
-162,12
-161,14
-160,10
-159,7
-158,12
-157,9
-156,10
-155,9
-154,14
-153,13
-152,11
-151,16
-150,7
-149,17
-148,10
-147,8
-146,18
-145,8
-144,8
-143,7
-142,7
-141,10
-140,17
-139,9
-138,8
-137,9
-136,11
-135,15
-134,9
-133,11
-132,14
-131,11
-130,18
-129,9
-128,15
-127,11
-126,14
-125,14
-124,7
-123,8
-122,22
-121,10
-120,10
-119,13
-118,19
-117,3
-116,11
-115,14
-114,12
-113,10
-112,15
-111,15
-110,12
-109,7
-108,9
-107,14
-106,6
-105,9
-104,7
-103,15
-102,8
-101,9
-100,8
-99,14
-98,14
-97,7
-96,9
-95,14
-94,7
-93,12
-92,12
-91,11
-90,14
-89,6
-88,8
-87,16
-86,10
-85,14
-84,9
-83,13
-82,16
-81,8
-80,14
-79,8
-78,17
-77,14
-76,12
-75,11
-74,19
-73,11
-72,13
-71,10
-70,11
-69,14
-68,16
-67,17
-66,11
-65,11
-64,14
-63,11
-62,16
-61,13
-60,15
-59,13
-58,18
-57,4
-56,8
-55,9
-54,10
-53,12
-52,10
-51,8
-50,10
-49,12
-48,12
-47,11
-46,14
-45,9
-44,13
-43,16
-42,9
-41,11
-40,12
-39,4
-38,16
-37,12
-36,11
-35,16
-34,18
-33,12
-32,13
-31,11
-30,11
-29,8
-28,11
-27,2
-26,13
-25,22
-24,6
-23,15
-22,13
-21,15
-20,15
-19,21
-18,19
-17,34
-16,34
-15,40
-14,25
-13,34
-12,36
-11,19
-10,26
-9,13
-8,24
-7,19
-6,10
-5,1
-4,13
-3,7
-2,0
-1,0
