,0
1,17
2,17
3,16
4,27
5,19
6,23
7,20
8,23
9,29
10,19
11,14
12,25
13,17
14,16
15,11
16,15
17,9
18,15
19,19
20,18
21,15
22,21
23,9
24,13
25,17
26,16
27,22
28,10
29,14
30,11
31,9
32,14
33,15
34,6
35,11
36,16
37,14
38,20
39,13
40,15
41,13
42,14
43,14
44,14
45,8
46,23
47,13
48,19
49,14
50,13
51,12
52,21
53,10
54,15
55,16
56,19
57,17
58,19
59,18
60,23
61,9
62,14
63,17
64,19
65,13
66,15
67,18
68,17
69,21
70,13
71,13
72,20
73,15
74,19
75,20
76,19
77,20
78,21
79,21
80,20
81,15
82,15
83,15
84,26
85,20
86,18
87,20
88,17
89,23
90,17
91,24
92,14
93,24
94,12
95,12
96,20
97,23
98,28
99,18
100,22
101,14
102,33
103,19
104,14
105,17
106,14
107,17
108,24
109,16
110,18
111,23
112,28
113,18
114,21
115,11
116,23
117,19
118,25
119,21
120,17
121,24
122,17
123,18
124,23
125,24
126,17
127,21
128,11
129,20
130,10
131,18
132,29
133,16
134,20
135,15
136,18
137,21
138,14
139,19
140,16
141,24
142,19
143,19
144,18
145,19
146,19
147,19
148,20
149,22
150,20
151,17
152,16
153,20
154,18
155,22
156,17
157,20
158,14
159,23
160,23
161,14
162,22
163,25
164,26
165,10
166,24
167,26
168,17
169,19
170,19
171,21
172,20
173,17
174,16
175,23
176,17
177,30
178,17
179,17
180,28
181,22
182,28
183,16
184,12
185,20
186,35
187,21
188,19
189,21
190,22
191,28
192,15
193,15
194,22
195,30
196,13
197,22
198,20
199,20
200,19
