,0
-200,53
-199,44
-198,67
-197,51
-196,62
-195,63
-194,46
-193,47
-192,45
-191,51
-190,43
-189,51
-188,58
-187,43
-186,44
-185,59
-184,46
-183,42
-182,47
-181,45
-180,34
-179,53
-178,58
-177,48
-176,46
-175,61
-174,54
-173,65
-172,54
-171,57
-170,44
-169,48
-168,55
-167,45
-166,49
-165,53
-164,44
-163,52
-162,46
-161,47
-160,52
-159,43
-158,48
-157,36
-156,38
-155,46
-154,56
-153,43
-152,52
-151,39
-150,50
-149,45
-148,48
-147,52
-146,49
-145,62
-144,45
-143,70
-142,44
-141,54
-140,44
-139,60
-138,36
-137,47
-136,44
-135,50
-134,56
-133,30
-132,49
-131,50
-130,49
-129,55
-128,63
-127,40
-126,51
-125,57
-124,50
-123,58
-122,53
-121,53
-120,48
-119,54
-118,57
-117,57
-116,57
-115,34
-114,45
-113,62
-112,56
-111,45
-110,60
-109,54
-108,48
-107,48
-106,54
-105,48
-104,53
-103,45
-102,62
-101,60
-100,42
-99,55
-98,54
-97,59
-96,61
-95,59
-94,45
-93,56
-92,53
-91,52
-90,48
-89,48
-88,52
-87,44
-86,55
-85,58
-84,53
-83,63
-82,49
-81,55
-80,78
-79,60
-78,63
-77,55
-76,49
-75,56
-74,48
-73,54
-72,36
-71,51
-70,56
-69,39
-68,53
-67,59
-66,50
-65,48
-64,53
-63,43
-62,67
-61,48
-60,52
-59,52
-58,44
-57,41
-56,58
-55,51
-54,51
-53,59
-52,55
-51,41
-50,52
-49,60
-48,51
-47,50
-46,46
-45,45
-44,49
-43,59
-42,34
-41,43
-40,53
-39,55
-38,49
-37,43
-36,54
-35,56
-34,49
-33,56
-32,73
-31,57
-30,56
-29,65
-28,66
-27,57
-26,69
-25,55
-24,57
-23,61
-22,67
-21,68
-20,83
-19,93
-18,146
-17,182
-16,164
-15,110
-14,45
-13,17
-12,18
-11,31
-10,46
-9,94
-8,127
-7,101
-6,106
-5,63
-4,55
-3,110
-2,1
-1,0
