,0
1,15
2,23
3,14
4,27
5,34
6,46
7,21
8,36
9,39
10,41
11,48
12,29
13,26
14,33
15,31
16,30
17,27
18,37
19,40
20,33
21,37
22,27
23,46
24,36
25,33
26,25
27,25
28,37
29,43
30,26
31,34
32,26
33,38
34,24
35,22
36,29
37,27
38,31
39,30
40,13
41,20
42,26
43,22
44,11
45,28
46,26
47,15
48,19
49,19
50,22
51,23
52,21
53,21
54,28
55,26
56,28
57,15
58,16
59,17
60,21
61,23
62,23
63,23
64,28
65,33
66,23
67,28
68,17
69,13
70,24
71,17
72,26
73,21
74,23
75,20
76,26
77,27
78,24
79,27
80,15
81,20
82,25
83,24
84,17
85,23
86,17
87,27
88,20
89,27
90,36
91,16
92,31
93,17
94,14
95,26
96,21
97,21
98,19
99,26
100,21
101,16
102,21
103,22
104,14
105,17
106,15
107,21
108,26
109,25
110,14
111,21
112,22
113,22
114,21
115,26
116,21
117,25
118,20
119,26
120,18
121,21
122,16
123,18
124,19
125,19
126,19
127,17
128,14
129,19
130,17
131,13
132,20
133,17
134,19
135,25
136,24
137,20
138,22
139,10
140,23
141,11
142,21
143,22
144,31
145,16
146,25
147,18
148,21
149,17
150,33
151,19
152,24
153,14
154,10
155,20
156,17
157,28
158,17
159,30
160,20
161,19
162,17
163,20
164,14
165,13
166,16
167,21
168,28
169,21
170,23
171,18
172,20
173,26
174,27
175,16
176,16
177,21
178,15
179,25
180,21
181,22
182,26
183,16
184,20
185,18
186,26
187,11
188,17
189,20
190,23
191,21
192,28
193,24
194,22
195,23
196,15
197,19
198,20
199,16
200,22
