,0
-200,4
-199,4
-198,10
-197,12
-196,6
-195,5
-194,4
-193,6
-192,10
-191,8
-190,6
-189,8
-188,6
-187,11
-186,7
-185,14
-184,12
-183,7
-182,12
-181,9
-180,9
-179,7
-178,11
-177,12
-176,7
-175,11
-174,10
-173,5
-172,9
-171,9
-170,11
-169,15
-168,11
-167,11
-166,10
-165,6
-164,10
-163,10
-162,9
-161,9
-160,11
-159,8
-158,12
-157,5
-156,9
-155,10
-154,9
-153,5
-152,9
-151,6
-150,11
-149,8
-148,9
-147,7
-146,7
-145,5
-144,9
-143,16
-142,6
-141,8
-140,11
-139,6
-138,8
-137,9
-136,9
-135,13
-134,9
-133,10
-132,12
-131,6
-130,7
-129,12
-128,9
-127,6
-126,8
-125,10
-124,4
-123,12
-122,21
-121,3
-120,9
-119,9
-118,14
-117,18
-116,11
-115,16
-114,8
-113,12
-112,10
-111,8
-110,8
-109,10
-108,8
-107,17
-106,8
-105,5
-104,6
-103,11
-102,5
-101,10
-100,11
-99,17
-98,9
-97,9
-96,5
-95,5
-94,8
-93,10
-92,11
-91,6
-90,5
-89,14
-88,8
-87,10
-86,7
-85,5
-84,6
-83,10
-82,9
-81,7
-80,14
-79,1
-78,8
-77,11
-76,5
-75,8
-74,9
-73,7
-72,9
-71,8
-70,8
-69,8
-68,14
-67,9
-66,8
-65,14
-64,7
-63,10
-62,10
-61,10
-60,13
-59,6
-58,15
-57,9
-56,12
-55,6
-54,9
-53,13
-52,5
-51,9
-50,7
-49,10
-48,11
-47,6
-46,3
-45,12
-44,6
-43,9
-42,13
-41,12
-40,12
-39,8
-38,9
-37,7
-36,7
-35,10
-34,11
-33,8
-32,10
-31,11
-30,7
-29,10
-28,11
-27,5
-26,18
-25,6
-24,9
-23,12
-22,6
-21,9
-20,10
-19,8
-18,6
-17,12
-16,9
-15,7
-14,7
-13,8
-12,11
-11,4
-10,10
-9,12
-8,14
-7,13
-6,11
-5,12
-4,1
-3,14
-2,0
-1,0
