,0
1,0
2,5
3,2
4,1
5,1
6,3
7,1
8,5
9,8
10,6
11,3
12,6
13,4
14,9
15,2
16,2
17,7
18,3
19,4
20,3
21,7
22,8
23,4
24,4
25,3
26,4
27,6
28,4
29,6
30,4
31,3
32,3
33,7
34,3
35,8
36,10
37,8
38,2
39,7
40,9
41,5
42,7
43,4
44,4
45,7
46,9
47,4
48,12
49,6
50,6
51,8
52,8
53,3
54,4
55,6
56,3
57,7
58,3
59,6
60,6
61,9
62,5
63,2
64,3
65,5
66,7
67,5
68,7
69,8
70,11
71,6
72,11
73,4
74,9
75,6
76,4
77,6
78,5
79,5
80,7
81,8
82,4
83,5
84,5
85,4
86,7
87,17
88,2
89,6
90,10
91,1
92,7
93,14
94,7
95,7
96,11
97,10
98,5
99,10
100,8
101,11
102,13
103,4
104,8
105,13
106,7
107,4
108,10
109,6
110,2
111,8
112,11
113,3
114,4
115,6
116,3
117,7
118,4
119,4
120,6
121,9
122,6
123,7
124,5
125,6
126,7
127,10
128,5
129,6
130,5
131,10
132,5
133,4
134,5
135,5
136,6
137,5
138,7
139,8
140,3
141,9
142,6
143,8
144,4
145,5
146,7
147,8
148,4
149,5
150,10
151,5
152,2
153,6
154,12
155,8
156,6
157,9
158,10
159,10
160,8
161,8
162,3
163,5
164,8
165,11
166,9
167,10
168,3
169,3
170,4
171,6
172,4
173,4
174,4
175,10
176,7
177,10
178,7
179,10
180,7
181,4
182,1
183,6
184,2
185,5
186,11
187,9
188,8
189,8
190,5
191,6
192,6
193,8
194,1
195,10
196,8
197,8
198,12
199,4
200,7
