,0
-200,60
-199,42
-198,46
-197,35
-196,44
-195,23
-194,52
-193,35
-192,36
-191,45
-190,23
-189,40
-188,31
-187,40
-186,37
-185,35
-184,42
-183,27
-182,38
-181,28
-180,40
-179,31
-178,28
-177,44
-176,62
-175,31
-174,23
-173,32
-172,43
-171,37
-170,31
-169,36
-168,38
-167,44
-166,32
-165,30
-164,41
-163,36
-162,38
-161,37
-160,39
-159,38
-158,33
-157,28
-156,34
-155,39
-154,25
-153,36
-152,37
-151,28
-150,37
-149,45
-148,32
-147,36
-146,41
-145,29
-144,38
-143,50
-142,21
-141,37
-140,35
-139,25
-138,36
-137,32
-136,29
-135,27
-134,34
-133,37
-132,32
-131,26
-130,38
-129,30
-128,45
-127,26
-126,39
-125,47
-124,47
-123,34
-122,42
-121,39
-120,33
-119,34
-118,27
-117,23
-116,32
-115,32
-114,42
-113,36
-112,21
-111,27
-110,39
-109,38
-108,25
-107,30
-106,35
-105,38
-104,44
-103,39
-102,36
-101,28
-100,23
-99,29
-98,35
-97,37
-96,33
-95,30
-94,29
-93,36
-92,36
-91,27
-90,27
-89,43
-88,31
-87,25
-86,36
-85,30
-84,28
-83,26
-82,29
-81,31
-80,39
-79,36
-78,26
-77,31
-76,25
-75,38
-74,25
-73,30
-72,30
-71,39
-70,38
-69,39
-68,23
-67,35
-66,23
-65,29
-64,28
-63,20
-62,28
-61,24
-60,33
-59,48
-58,24
-57,27
-56,26
-55,28
-54,27
-53,25
-52,28
-51,28
-50,28
-49,27
-48,28
-47,31
-46,28
-45,29
-44,31
-43,14
-42,25
-41,34
-40,26
-39,27
-38,27
-37,34
-36,33
-35,31
-34,27
-33,31
-32,37
-31,31
-30,22
-29,34
-28,22
-27,23
-26,35
-25,22
-24,25
-23,28
-22,28
-21,33
-20,49
-19,42
-18,57
-17,115
-16,110
-15,135
-14,83
-13,70
-12,68
-11,50
-10,49
-9,39
-8,80
-7,60
-6,42
-5,31
-4,28
-3,16
-2,0
-1,0
