,0
1,7
2,25
3,16
4,17
5,18
6,19
7,18
8,13
9,19
10,7
11,16
12,20
13,16
14,14
15,16
16,7
17,12
18,26
19,14
20,21
21,11
22,9
23,12
24,18
25,10
26,9
27,24
28,19
29,24
30,8
31,15
32,17
33,19
34,16
35,8
36,12
37,13
38,17
39,9
40,7
41,19
42,15
43,10
44,15
45,19
46,17
47,9
48,19
49,19
50,15
51,12
52,17
53,15
54,17
55,17
56,23
57,11
58,9
59,16
60,12
61,15
62,16
63,18
64,11
65,17
66,21
67,12
68,24
69,17
70,13
71,13
72,17
73,17
74,19
75,22
76,6
77,19
78,24
79,10
80,16
81,30
82,15
83,26
84,18
85,15
86,16
87,16
88,13
89,22
90,27
91,19
92,21
93,22
94,20
95,11
96,30
97,8
98,20
99,26
100,13
101,22
102,25
103,15
104,19
105,21
106,15
107,10
108,17
109,18
110,17
111,18
112,12
113,13
114,24
115,9
116,19
117,25
118,14
119,26
120,20
121,13
122,14
123,18
124,22
125,19
126,22
127,19
128,16
129,30
130,14
131,24
132,25
133,17
134,19
135,19
136,12
137,18
138,27
139,13
140,23
141,19
142,18
143,19
144,24
145,17
146,15
147,15
148,19
149,22
150,23
151,11
152,11
153,25
154,8
155,11
156,15
157,12
158,21
159,21
160,11
161,19
162,23
163,14
164,31
165,17
166,14
167,18
168,20
169,24
170,20
171,22
172,23
173,20
174,15
175,15
176,20
177,22
178,15
179,28
180,19
181,12
182,18
183,23
184,21
185,22
186,31
187,14
188,16
189,17
190,18
191,15
192,16
193,18
194,18
195,25
196,20
197,16
198,25
199,13
200,27
