,0
1,42
2,56
3,38
4,40
5,49
6,36
7,50
8,37
9,44
10,45
11,40
12,52
13,52
14,58
15,56
16,58
17,43
18,42
19,51
20,52
21,66
22,42
23,39
24,38
25,55
26,56
27,61
28,63
29,56
30,51
31,72
32,62
33,73
34,71
35,56
36,62
37,69
38,61
39,69
40,77
41,57
42,63
43,66
44,59
45,57
46,59
47,52
48,57
49,52
50,59
51,55
52,57
53,71
54,70
55,68
56,62
57,59
58,54
59,57
60,55
61,55
62,60
63,53
64,48
65,52
66,70
67,58
68,40
69,64
70,59
71,44
72,60
73,60
74,55
75,55
76,51
77,57
78,55
79,53
80,43
81,57
82,65
83,52
84,54
85,52
86,46
87,54
88,59
89,43
90,64
91,57
92,47
93,66
94,49
95,41
96,61
97,65
98,48
99,51
100,51
101,57
102,62
103,59
104,46
105,59
106,44
107,54
108,53
109,49
110,46
111,67
112,64
113,48
114,54
115,56
116,54
117,61
118,51
119,42
120,40
121,58
122,64
123,50
124,59
125,45
126,60
127,59
128,59
129,47
130,48
131,45
132,60
133,56
134,45
135,48
136,48
137,55
138,50
139,52
140,46
141,56
142,57
143,62
144,47
145,66
146,51
147,59
148,63
149,44
150,53
151,61
152,44
153,67
154,46
155,50
156,47
157,61
158,53
159,54
160,48
161,58
162,55
163,54
164,59
165,55
166,70
167,47
168,53
169,49
170,46
171,52
172,53
173,51
174,65
175,59
176,62
177,52
178,54
179,63
180,55
181,45
182,38
183,51
184,50
185,58
186,58
187,71
188,50
189,47
190,55
191,61
192,55
193,52
194,58
195,54
196,64
197,50
198,58
199,43
200,53
