,0
1,25
2,37
3,25
4,22
5,27
6,21
7,39
8,17
9,22
10,26
11,25
12,26
13,14
14,20
15,28
16,21
17,27
18,30
19,18
20,19
21,32
22,21
23,24
24,14
25,19
26,32
27,30
28,22
29,21
30,19
31,24
32,25
33,21
34,16
35,27
36,33
37,18
38,27
39,27
40,25
41,24
42,29
43,21
44,25
45,23
46,21
47,16
48,18
49,19
50,23
51,32
52,18
53,20
54,26
55,15
56,27
57,22
58,25
59,27
60,26
61,23
62,25
63,38
64,35
65,28
66,21
67,22
68,38
69,34
70,27
71,38
72,26
73,27
74,25
75,32
76,26
77,25
78,22
79,19
80,27
81,22
82,21
83,30
84,28
85,21
86,26
87,27
88,20
89,20
90,29
91,25
92,38
93,30
94,28
95,24
96,19
97,22
98,22
99,35
100,37
101,27
102,28
103,25
104,38
105,36
106,31
107,28
108,36
109,23
110,24
111,28
112,23
113,33
114,44
115,23
116,31
117,27
118,31
119,23
120,23
121,30
122,28
123,31
124,29
125,31
126,24
127,27
128,29
129,31
130,36
131,22
132,29
133,20
134,24
135,37
136,22
137,36
138,45
139,30
140,22
141,30
142,28
143,24
144,31
145,18
146,32
147,36
148,35
149,35
150,26
151,24
152,24
153,28
154,27
155,33
156,31
157,26
158,40
159,33
160,26
161,37
162,30
163,31
164,27
165,32
166,33
167,27
168,29
169,27
170,17
171,30
172,19
173,36
174,27
175,26
176,28
177,31
178,30
179,37
180,27
181,24
182,33
183,32
184,20
185,28
186,29
187,24
188,26
189,38
190,28
191,25
192,30
193,25
194,25
195,33
196,25
197,31
198,30
199,28
200,33
