,0
-200,24
-199,20
-198,23
-197,27
-196,32
-195,38
-194,34
-193,33
-192,33
-191,39
-190,28
-189,28
-188,38
-187,37
-186,29
-185,28
-184,29
-183,27
-182,31
-181,33
-180,33
-179,31
-178,35
-177,34
-176,29
-175,36
-174,30
-173,27
-172,42
-171,31
-170,21
-169,28
-168,30
-167,19
-166,39
-165,23
-164,36
-163,34
-162,39
-161,24
-160,30
-159,19
-158,26
-157,34
-156,31
-155,27
-154,35
-153,35
-152,29
-151,32
-150,33
-149,34
-148,27
-147,30
-146,24
-145,31
-144,29
-143,32
-142,36
-141,22
-140,23
-139,28
-138,25
-137,34
-136,25
-135,25
-134,21
-133,32
-132,38
-131,31
-130,36
-129,38
-128,25
-127,44
-126,29
-125,27
-124,40
-123,27
-122,38
-121,27
-120,26
-119,31
-118,39
-117,29
-116,21
-115,31
-114,25
-113,37
-112,30
-111,27
-110,32
-109,31
-108,42
-107,40
-106,39
-105,35
-104,33
-103,38
-102,29
-101,46
-100,28
-99,33
-98,27
-97,27
-96,33
-95,31
-94,38
-93,32
-92,27
-91,29
-90,23
-89,27
-88,33
-87,39
-86,29
-85,25
-84,32
-83,32
-82,41
-81,27
-80,34
-79,19
-78,31
-77,21
-76,35
-75,39
-74,26
-73,33
-72,28
-71,25
-70,28
-69,25
-68,26
-67,30
-66,34
-65,25
-64,25
-63,31
-62,25
-61,25
-60,36
-59,23
-58,29
-57,33
-56,39
-55,30
-54,29
-53,31
-52,27
-51,26
-50,27
-49,33
-48,28
-47,33
-46,27
-45,39
-44,27
-43,22
-42,24
-41,34
-40,30
-39,32
-38,22
-37,28
-36,37
-35,27
-34,27
-33,26
-32,42
-31,31
-30,30
-29,24
-28,28
-27,28
-26,24
-25,26
-24,25
-23,24
-22,22
-21,24
-20,25
-19,30
-18,29
-17,26
-16,19
-15,40
-14,36
-13,36
-12,23
-11,37
-10,43
-9,33
-8,39
-7,44
-6,31
-5,24
-4,48
-3,47
-2,65
-1,24
