,0
1,26
2,40
3,32
4,39
5,30
6,40
7,34
8,38
9,31
10,37
11,37
12,38
13,30
14,37
15,31
16,33
17,29
18,39
19,25
20,28
21,33
22,32
23,24
24,28
25,27
26,20
27,27
28,22
29,35
30,25
31,19
32,21
33,21
34,21
35,19
36,20
37,21
38,17
39,33
40,14
41,24
42,24
43,20
44,20
45,20
46,31
47,27
48,26
49,30
50,23
51,23
52,23
53,28
54,29
55,28
56,23
57,26
58,23
59,27
60,27
61,32
62,26
63,24
64,25
65,21
66,32
67,25
68,21
69,25
70,31
71,19
72,24
73,19
74,27
75,30
76,18
77,26
78,20
79,34
80,18
81,28
82,24
83,21
84,29
85,24
86,21
87,25
88,17
89,20
90,38
91,18
92,21
93,32
94,22
95,30
96,29
97,31
98,20
99,23
100,26
101,18
102,20
103,30
104,24
105,23
106,24
107,28
108,22
109,20
110,25
111,27
112,19
113,28
114,22
115,25
116,23
117,39
118,29
119,26
120,22
121,20
122,24
123,25
124,25
125,21
126,13
127,22
128,21
129,31
130,26
131,23
132,28
133,25
134,31
135,18
136,17
137,16
138,29
139,16
140,22
141,36
142,22
143,32
144,25
145,34
146,27
147,30
148,22
149,27
150,35
151,21
152,22
153,29
154,26
155,16
156,27
157,30
158,29
159,23
160,16
161,20
162,20
163,21
164,24
165,23
166,22
167,17
168,18
169,24
170,22
171,21
172,16
173,28
174,32
175,26
176,23
177,26
178,32
179,24
180,38
181,27
182,19
183,22
184,24
185,27
186,26
187,26
188,31
189,23
190,17
191,25
192,24
193,24
194,26
195,24
196,23
197,29
198,27
199,27
200,22
