,0
-200,38
-199,29
-198,29
-197,25
-196,28
-195,29
-194,29
-193,33
-192,25
-191,19
-190,32
-189,34
-188,27
-187,27
-186,33
-185,28
-184,35
-183,34
-182,45
-181,30
-180,27
-179,35
-178,21
-177,27
-176,27
-175,34
-174,32
-173,30
-172,38
-171,36
-170,36
-169,32
-168,27
-167,36
-166,33
-165,32
-164,27
-163,29
-162,28
-161,34
-160,37
-159,33
-158,26
-157,36
-156,33
-155,44
-154,35
-153,22
-152,25
-151,35
-150,32
-149,31
-148,32
-147,31
-146,35
-145,20
-144,33
-143,41
-142,26
-141,36
-140,32
-139,37
-138,31
-137,25
-136,28
-135,34
-134,33
-133,36
-132,34
-131,25
-130,37
-129,30
-128,27
-127,35
-126,37
-125,34
-124,24
-123,29
-122,31
-121,30
-120,33
-119,31
-118,29
-117,30
-116,30
-115,32
-114,37
-113,39
-112,26
-111,30
-110,30
-109,33
-108,37
-107,35
-106,37
-105,31
-104,26
-103,28
-102,31
-101,36
-100,34
-99,32
-98,25
-97,35
-96,34
-95,37
-94,22
-93,41
-92,36
-91,37
-90,29
-89,49
-88,38
-87,34
-86,40
-85,32
-84,33
-83,22
-82,27
-81,31
-80,31
-79,33
-78,42
-77,30
-76,45
-75,17
-74,26
-73,32
-72,34
-71,27
-70,29
-69,24
-68,36
-67,38
-66,31
-65,26
-64,25
-63,35
-62,39
-61,27
-60,35
-59,23
-58,27
-57,20
-56,34
-55,32
-54,30
-53,36
-52,33
-51,33
-50,28
-49,32
-48,37
-47,39
-46,33
-45,27
-44,28
-43,25
-42,27
-41,25
-40,36
-39,30
-38,28
-37,30
-36,28
-35,37
-34,24
-33,51
-32,37
-31,40
-30,38
-29,35
-28,41
-27,33
-26,28
-25,25
-24,26
-23,30
-22,28
-21,20
-20,44
-19,46
-18,54
-17,61
-16,86
-15,51
-14,24
-13,14
-12,13
-11,18
-10,36
-9,70
-8,85
-7,88
-6,59
-5,41
-4,39
-3,46
-2,0
-1,0
