,0
-200,20
-199,24
-198,16
-197,16
-196,13
-195,15
-194,16
-193,12
-192,14
-191,12
-190,15
-189,10
-188,13
-187,10
-186,16
-185,13
-184,15
-183,16
-182,17
-181,15
-180,12
-179,24
-178,21
-177,22
-176,16
-175,18
-174,11
-173,16
-172,17
-171,22
-170,26
-169,12
-168,15
-167,17
-166,17
-165,17
-164,14
-163,17
-162,32
-161,18
-160,7
-159,21
-158,14
-157,11
-156,12
-155,12
-154,15
-153,10
-152,18
-151,18
-150,9
-149,17
-148,15
-147,14
-146,23
-145,11
-144,14
-143,16
-142,12
-141,17
-140,16
-139,11
-138,12
-137,21
-136,21
-135,19
-134,19
-133,11
-132,20
-131,17
-130,15
-129,19
-128,15
-127,12
-126,13
-125,21
-124,12
-123,14
-122,17
-121,12
-120,13
-119,22
-118,11
-117,13
-116,19
-115,10
-114,16
-113,11
-112,12
-111,18
-110,17
-109,12
-108,18
-107,18
-106,17
-105,17
-104,18
-103,15
-102,16
-101,15
-100,18
-99,14
-98,23
-97,13
-96,17
-95,20
-94,13
-93,9
-92,18
-91,13
-90,16
-89,15
-88,24
-87,16
-86,8
-85,16
-84,10
-83,18
-82,12
-81,9
-80,17
-79,10
-78,7
-77,17
-76,15
-75,16
-74,6
-73,11
-72,7
-71,19
-70,12
-69,11
-68,15
-67,13
-66,14
-65,18
-64,11
-63,14
-62,16
-61,11
-60,8
-59,13
-58,10
-57,17
-56,18
-55,16
-54,10
-53,13
-52,7
-51,7
-50,15
-49,9
-48,6
-47,12
-46,6
-45,11
-44,18
-43,14
-42,10
-41,8
-40,10
-39,7
-38,17
-37,5
-36,12
-35,12
-34,10
-33,10
-32,16
-31,16
-30,5
-29,9
-28,6
-27,11
-26,9
-25,6
-24,14
-23,9
-22,8
-21,9
-20,11
-19,8
-18,12
-17,20
-16,13
-15,19
-14,32
-13,39
-12,26
-11,56
-10,23
-9,26
-8,28
-7,19
-6,15
-5,13
-4,15
-3,1
-2,1
-1,0
