,0
1,44
2,28
3,30
4,32
5,48
6,41
7,30
8,25
9,30
10,31
11,25
12,30
13,31
14,34
15,32
16,41
17,25
18,39
19,24
20,35
21,28
22,25
23,35
24,32
25,21
26,25
27,31
28,25
29,37
30,37
31,34
32,25
33,25
34,20
35,25
36,22
37,25
38,34
39,18
40,20
41,27
42,31
43,25
44,27
45,25
46,28
47,25
48,20
49,29
50,25
51,42
52,28
53,21
54,37
55,24
56,29
57,33
58,19
59,19
60,31
61,25
62,32
63,30
64,19
65,34
66,32
67,25
68,21
69,28
70,21
71,21
72,26
73,27
74,26
75,28
76,30
77,24
78,26
79,34
80,37
81,29
82,35
83,27
84,26
85,35
86,38
87,21
88,25
89,36
90,30
91,36
92,31
93,29
94,33
95,40
96,28
97,34
98,26
99,33
100,39
101,27
102,32
103,26
104,35
105,28
106,29
107,30
108,26
109,33
110,28
111,36
112,26
113,38
114,25
115,38
116,24
117,32
118,23
119,30
120,32
121,40
122,35
123,30
124,33
125,27
126,33
127,34
128,20
129,28
130,20
131,34
132,26
133,28
134,30
135,27
136,39
137,24
138,36
139,27
140,25
141,32
142,34
143,46
144,42
145,29
146,36
147,26
148,37
149,37
150,25
151,35
152,26
153,40
154,37
155,27
156,29
157,23
158,30
159,32
160,32
161,40
162,43
163,28
164,35
165,38
166,32
167,31
168,30
169,35
170,24
171,21
172,24
173,29
174,22
175,34
176,40
177,30
178,27
179,34
180,37
181,21
182,44
183,27
184,41
185,41
186,32
187,30
188,22
189,36
190,34
191,37
192,33
193,29
194,36
195,36
196,36
197,39
198,23
199,32
200,35
