,0
-200,31
-199,28
-198,37
-197,24
-196,34
-195,23
-194,32
-193,26
-192,24
-191,22
-190,27
-189,24
-188,31
-187,24
-186,20
-185,26
-184,21
-183,33
-182,23
-181,33
-180,28
-179,30
-178,30
-177,23
-176,35
-175,32
-174,27
-173,26
-172,28
-171,25
-170,25
-169,21
-168,32
-167,27
-166,29
-165,31
-164,30
-163,27
-162,31
-161,32
-160,29
-159,32
-158,30
-157,24
-156,35
-155,24
-154,23
-153,31
-152,28
-151,20
-150,24
-149,29
-148,24
-147,27
-146,18
-145,28
-144,18
-143,25
-142,19
-141,27
-140,30
-139,32
-138,24
-137,26
-136,28
-135,34
-134,28
-133,24
-132,35
-131,37
-130,43
-129,40
-128,23
-127,25
-126,30
-125,37
-124,28
-123,19
-122,32
-121,20
-120,23
-119,33
-118,21
-117,33
-116,23
-115,37
-114,34
-113,26
-112,30
-111,27
-110,25
-109,33
-108,21
-107,25
-106,29
-105,31
-104,34
-103,30
-102,40
-101,43
-100,27
-99,30
-98,28
-97,27
-96,29
-95,30
-94,27
-93,19
-92,31
-91,23
-90,31
-89,31
-88,27
-87,33
-86,32
-85,20
-84,30
-83,35
-82,24
-81,26
-80,27
-79,46
-78,33
-77,27
-76,28
-75,26
-74,31
-73,34
-72,24
-71,30
-70,26
-69,30
-68,22
-67,19
-66,23
-65,26
-64,30
-63,27
-62,30
-61,26
-60,21
-59,22
-58,23
-57,21
-56,27
-55,21
-54,14
-53,24
-52,32
-51,26
-50,28
-49,31
-48,25
-47,31
-46,23
-45,18
-44,28
-43,26
-42,28
-41,28
-40,13
-39,25
-38,22
-37,16
-36,20
-35,20
-34,19
-33,25
-32,21
-31,30
-30,25
-29,34
-28,25
-27,28
-26,23
-25,31
-24,40
-23,33
-22,31
-21,29
-20,42
-19,32
-18,45
-17,28
-16,44
-15,33
-14,51
-13,34
-12,29
-11,36
-10,55
-9,99
-8,110
-7,61
-6,68
-5,41
-4,25
-3,43
-2,0
-1,0
