,0
-200,11
-199,5
-198,5
-197,6
-196,6
-195,6
-194,7
-193,12
-192,12
-191,11
-190,9
-189,3
-188,10
-187,6
-186,7
-185,9
-184,6
-183,6
-182,8
-181,10
-180,8
-179,3
-178,2
-177,7
-176,4
-175,3
-174,3
-173,7
-172,5
-171,2
-170,2
-169,9
-168,9
-167,9
-166,6
-165,7
-164,10
-163,3
-162,9
-161,5
-160,10
-159,10
-158,3
-157,5
-156,4
-155,3
-154,5
-153,9
-152,6
-151,8
-150,3
-149,2
-148,8
-147,6
-146,3
-145,9
-144,9
-143,4
-142,4
-141,4
-140,9
-139,6
-138,5
-137,8
-136,4
-135,6
-134,5
-133,6
-132,7
-131,7
-130,6
-129,12
-128,11
-127,4
-126,5
-125,7
-124,4
-123,12
-122,12
-121,8
-120,6
-119,7
-118,8
-117,1
-116,5
-115,8
-114,7
-113,4
-112,12
-111,5
-110,9
-109,2
-108,9
-107,11
-106,4
-105,1
-104,15
-103,6
-102,8
-101,6
-100,4
-99,7
-98,8
-97,7
-96,6
-95,2
-94,6
-93,6
-92,5
-91,7
-90,7
-89,9
-88,4
-87,6
-86,12
-85,9
-84,8
-83,5
-82,5
-81,6
-80,7
-79,6
-78,5
-77,5
-76,2
-75,11
-74,10
-73,2
-72,4
-71,7
-70,5
-69,8
-68,5
-67,9
-66,7
-65,9
-64,8
-63,6
-62,6
-61,9
-60,5
-59,3
-58,10
-57,6
-56,3
-55,8
-54,4
-53,11
-52,4
-51,9
-50,15
-49,7
-48,6
-47,8
-46,5
-45,4
-44,2
-43,9
-42,5
-41,6
-40,5
-39,7
-38,7
-37,9
-36,5
-35,6
-34,4
-33,6
-32,8
-31,5
-30,5
-29,5
-28,3
-27,5
-26,7
-25,5
-24,6
-23,1
-22,3
-21,5
-20,1
-19,5
-18,3
-17,8
-16,4
-15,5
-14,6
-13,9
-12,12
-11,10
-10,9
-9,6
-8,3
-7,6
-6,7
-5,5
-4,2
-3,0
-2,0
-1,0
