,0
-200,14
-199,18
-198,16
-197,18
-196,10
-195,16
-194,14
-193,14
-192,13
-191,14
-190,17
-189,11
-188,12
-187,11
-186,14
-185,16
-184,9
-183,19
-182,8
-181,15
-180,16
-179,11
-178,16
-177,14
-176,13
-175,10
-174,9
-173,15
-172,18
-171,14
-170,15
-169,7
-168,10
-167,14
-166,7
-165,10
-164,11
-163,14
-162,13
-161,13
-160,16
-159,7
-158,14
-157,11
-156,14
-155,14
-154,6
-153,10
-152,7
-151,14
-150,9
-149,15
-148,9
-147,18
-146,11
-145,13
-144,6
-143,15
-142,12
-141,7
-140,15
-139,7
-138,6
-137,10
-136,9
-135,9
-134,11
-133,12
-132,10
-131,16
-130,5
-129,14
-128,15
-127,8
-126,16
-125,9
-124,14
-123,17
-122,7
-121,16
-120,10
-119,13
-118,9
-117,12
-116,7
-115,10
-114,11
-113,16
-112,9
-111,11
-110,16
-109,9
-108,7
-107,9
-106,7
-105,8
-104,9
-103,8
-102,8
-101,9
-100,8
-99,9
-98,7
-97,7
-96,12
-95,10
-94,11
-93,12
-92,8
-91,18
-90,8
-89,5
-88,14
-87,13
-86,13
-85,13
-84,14
-83,9
-82,14
-81,6
-80,16
-79,20
-78,8
-77,13
-76,17
-75,17
-74,8
-73,12
-72,15
-71,12
-70,10
-69,9
-68,18
-67,8
-66,12
-65,15
-64,9
-63,9
-62,13
-61,9
-60,16
-59,4
-58,6
-57,13
-56,4
-55,13
-54,9
-53,17
-52,11
-51,9
-50,14
-49,11
-48,9
-47,9
-46,15
-45,8
-44,10
-43,14
-42,8
-41,11
-40,12
-39,12
-38,7
-37,13
-36,10
-35,6
-34,10
-33,7
-32,12
-31,11
-30,12
-29,8
-28,2
-27,9
-26,4
-25,6
-24,5
-23,5
-22,6
-21,11
-20,23
-19,21
-18,15
-17,26
-16,27
-15,39
-14,33
-13,29
-12,27
-11,27
-10,17
-9,9
-8,19
-7,14
-6,8
-5,5
-4,5
-3,1
-2,0
-1,0
