,0
-200,29
-199,19
-198,23
-197,25
-196,14
-195,18
-194,30
-193,16
-192,18
-191,19
-190,20
-189,21
-188,39
-187,21
-186,15
-185,28
-184,15
-183,17
-182,18
-181,20
-180,27
-179,36
-178,18
-177,20
-176,29
-175,16
-174,23
-173,24
-172,30
-171,15
-170,19
-169,22
-168,21
-167,22
-166,21
-165,14
-164,22
-163,24
-162,19
-161,34
-160,23
-159,16
-158,31
-157,18
-156,17
-155,29
-154,26
-153,18
-152,28
-151,12
-150,15
-149,29
-148,16
-147,12
-146,30
-145,22
-144,18
-143,23
-142,29
-141,23
-140,25
-139,18
-138,18
-137,26
-136,29
-135,17
-134,22
-133,16
-132,17
-131,22
-130,18
-129,17
-128,26
-127,23
-126,16
-125,24
-124,18
-123,12
-122,18
-121,25
-120,19
-119,20
-118,14
-117,12
-116,15
-115,21
-114,10
-113,11
-112,13
-111,9
-110,30
-109,17
-108,13
-107,21
-106,17
-105,14
-104,32
-103,16
-102,15
-101,21
-100,13
-99,16
-98,22
-97,15
-96,15
-95,26
-94,17
-93,26
-92,20
-91,11
-90,11
-89,22
-88,16
-87,10
-86,31
-85,19
-84,16
-83,27
-82,14
-81,11
-80,23
-79,14
-78,12
-77,26
-76,17
-75,19
-74,29
-73,14
-72,12
-71,18
-70,15
-69,16
-68,30
-67,7
-66,21
-65,20
-64,13
-63,14
-62,27
-61,16
-60,18
-59,18
-58,19
-57,19
-56,21
-55,22
-54,16
-53,30
-52,19
-51,14
-50,24
-49,14
-48,20
-47,25
-46,12
-45,12
-44,17
-43,21
-42,23
-41,16
-40,18
-39,12
-38,19
-37,16
-36,12
-35,24
-34,19
-33,13
-32,14
-31,20
-30,19
-29,18
-28,19
-27,15
-26,26
-25,13
-24,19
-23,17
-22,14
-21,9
-20,16
-19,23
-18,14
-17,15
-16,22
-15,37
-14,49
-13,46
-12,55
-11,37
-10,43
-9,35
-8,43
-7,31
-6,23
-5,27
-4,20
-3,3
-2,1
-1,0
