,0
1,80
2,62
3,59
4,78
5,62
6,60
7,50
8,56
9,70
10,35
11,42
12,40
13,47
14,58
15,50
16,40
17,38
18,41
19,46
20,37
21,36
22,33
23,34
24,39
25,47
26,34
27,40
28,39
29,41
30,40
31,31
32,37
33,32
34,35
35,25
36,37
37,34
38,36
39,28
40,30
41,33
42,35
43,33
44,38
45,32
46,42
47,46
48,30
49,33
50,35
51,43
52,27
53,37
54,45
55,29
56,41
57,31
58,33
59,33
60,39
61,38
62,38
63,33
64,40
65,35
66,38
67,49
68,34
69,41
70,44
71,44
72,34
73,38
74,37
75,24
76,31
77,30
78,36
79,30
80,32
81,39
82,41
83,30
84,39
85,38
86,38
87,28
88,35
89,32
90,35
91,45
92,45
93,29
94,37
95,32
96,48
97,42
98,33
99,30
100,33
101,41
102,32
103,35
104,48
105,34
106,36
107,40
108,42
109,30
110,40
111,37
112,46
113,28
114,43
115,31
116,58
117,39
118,33
119,27
120,24
121,42
122,33
123,31
124,37
125,31
126,43
127,26
128,28
129,37
130,39
131,30
132,37
133,45
134,33
135,33
136,31
137,38
138,34
139,42
140,40
141,27
142,37
143,35
144,41
145,34
146,36
147,40
148,36
149,40
150,45
151,41
152,37
153,39
154,38
155,48
156,41
157,44
158,35
159,48
160,26
161,31
162,39
163,37
164,46
165,38
166,34
167,36
168,35
169,32
170,39
171,21
172,31
173,40
174,32
175,29
176,24
177,39
178,40
179,38
180,41
181,30
182,21
183,32
184,36
185,51
186,22
187,34
188,29
189,37
190,40
191,32
192,33
193,24
194,39
195,35
196,25
197,32
198,35
199,35
200,30
