,0
1,5
2,12
3,11
4,10
5,13
6,7
7,10
8,7
9,9
10,10
11,10
12,5
13,4
14,11
15,10
16,8
17,6
18,8
19,7
20,8
21,9
22,17
23,12
24,5
25,7
26,5
27,7
28,10
29,12
30,8
31,6
32,10
33,12
34,12
35,7
36,12
37,12
38,13
39,11
40,11
41,4
42,4
43,8
44,11
45,7
46,11
47,5
48,4
49,5
50,12
51,7
52,12
53,12
54,16
55,9
56,7
57,8
58,7
59,4
60,10
61,9
62,12
63,12
64,13
65,13
66,8
67,6
68,15
69,11
70,8
71,12
72,7
73,9
74,11
75,15
76,4
77,11
78,8
79,6
80,10
81,11
82,7
83,11
84,9
85,10
86,15
87,11
88,8
89,10
90,11
91,9
92,6
93,7
94,10
95,8
96,12
97,6
98,16
99,9
100,16
101,12
102,8
103,12
104,13
105,10
106,5
107,13
108,9
109,8
110,7
111,9
112,11
113,14
114,5
115,12
116,6
117,7
118,19
119,14
120,10
121,13
122,13
123,11
124,11
125,14
126,8
127,9
128,12
129,11
130,7
131,13
132,12
133,11
134,6
135,10
136,8
137,8
138,16
139,12
140,5
141,11
142,11
143,10
144,10
145,12
146,9
147,9
148,10
149,14
150,12
151,7
152,15
153,7
154,10
155,12
156,11
157,10
158,11
159,14
160,5
161,6
162,11
163,6
164,14
165,17
166,11
167,14
168,12
169,8
170,13
171,20
172,11
173,11
174,13
175,9
176,10
177,13
178,10
179,6
180,11
181,4
182,10
183,19
184,13
185,18
186,11
187,12
188,10
189,15
190,14
191,5
192,8
193,8
194,16
195,10
196,8
197,8
198,12
199,8
200,15
