,0
1,25
2,20
3,13
4,17
5,17
6,12
7,16
8,18
9,13
10,17
11,10
12,12
13,12
14,14
15,18
16,14
17,13
18,15
19,19
20,11
21,19
22,9
23,10
24,10
25,10
26,11
27,18
28,12
29,11
30,11
31,12
32,16
33,10
34,10
35,12
36,9
37,16
38,18
39,11
40,10
41,10
42,8
43,15
44,8
45,11
46,10
47,10
48,11
49,10
50,13
51,5
52,8
53,15
54,12
55,11
56,12
57,12
58,20
59,8
60,13
61,12
62,13
63,18
64,19
65,8
66,9
67,6
68,3
69,21
70,12
71,10
72,15
73,15
74,15
75,8
76,10
77,14
78,9
79,9
80,18
81,12
82,11
83,8
84,5
85,16
86,17
87,8
88,13
89,12
90,20
91,15
92,12
93,10
94,9
95,5
96,13
97,15
98,14
99,15
100,7
101,15
102,10
103,11
104,17
105,16
106,13
107,7
108,16
109,12
110,3
111,9
112,6
113,9
114,11
115,8
116,8
117,8
118,15
119,8
120,11
121,15
122,17
123,15
124,16
125,7
126,16
127,8
128,9
129,10
130,6
131,10
132,10
133,13
134,10
135,8
136,14
137,14
138,11
139,10
140,14
141,13
142,9
143,8
144,7
145,10
146,9
147,15
148,12
149,11
150,20
151,15
152,10
153,14
154,7
155,15
156,12
157,10
158,9
159,14
160,11
161,9
162,8
163,10
164,6
165,10
166,9
167,8
168,12
169,10
170,13
171,15
172,12
173,8
174,11
175,13
176,6
177,16
178,15
179,13
180,15
181,14
182,11
183,12
184,12
185,13
186,8
187,7
188,7
189,8
190,10
191,18
192,14
193,8
194,8
195,13
196,13
197,6
198,12
199,5
200,11
