,0
1,6
2,12
3,9
4,10
5,11
6,5
7,11
8,12
9,12
10,10
11,15
12,13
13,10
14,16
15,7
16,9
17,12
18,9
19,11
20,13
21,11
22,12
23,5
24,17
25,9
26,5
27,10
28,9
29,9
30,18
31,8
32,10
33,10
34,5
35,12
36,18
37,15
38,14
39,17
40,10
41,9
42,13
43,1
44,15
45,12
46,11
47,14
48,12
49,7
50,11
51,18
52,17
53,6
54,17
55,14
56,13
57,6
58,11
59,9
60,9
61,13
62,17
63,7
64,10
65,8
66,11
67,10
68,28
69,9
70,21
71,7
72,12
73,10
74,17
75,9
76,6
77,12
78,12
79,9
80,11
81,12
82,10
83,14
84,15
85,19
86,17
87,8
88,13
89,9
90,8
91,15
92,24
93,12
94,8
95,10
96,12
97,8
98,13
99,14
100,18
101,11
102,8
103,14
104,15
105,17
106,10
107,13
108,11
109,11
110,15
111,8
112,16
113,14
114,11
115,12
116,13
117,13
118,13
119,13
120,20
121,10
122,8
123,5
124,7
125,16
126,14
127,13
128,9
129,6
130,11
131,9
132,9
133,9
134,12
135,11
136,14
137,17
138,10
139,13
140,17
141,12
142,10
143,18
144,15
145,17
146,17
147,11
148,9
149,19
150,17
151,19
152,12
153,11
154,20
155,9
156,13
157,15
158,12
159,12
160,4
161,17
162,10
163,11
164,15
165,17
166,8
167,10
168,12
169,17
170,13
171,13
172,10
173,11
174,12
175,16
176,7
177,13
178,8
179,8
180,6
181,10
182,14
183,19
184,17
185,15
186,17
187,11
188,11
189,20
190,13
191,8
192,15
193,16
194,13
195,13
196,15
197,19
198,14
199,13
200,12
