,0
-200,36
-199,40
-198,31
-197,34
-196,40
-195,41
-194,38
-193,39
-192,27
-191,34
-190,24
-189,40
-188,32
-187,32
-186,39
-185,36
-184,48
-183,31
-182,33
-181,36
-180,39
-179,45
-178,42
-177,28
-176,41
-175,31
-174,36
-173,35
-172,37
-171,32
-170,36
-169,36
-168,33
-167,31
-166,44
-165,52
-164,39
-163,27
-162,38
-161,29
-160,33
-159,23
-158,42
-157,30
-156,48
-155,49
-154,32
-153,37
-152,49
-151,37
-150,41
-149,44
-148,35
-147,27
-146,33
-145,33
-144,35
-143,57
-142,36
-141,32
-140,50
-139,42
-138,36
-137,47
-136,38
-135,33
-134,34
-133,35
-132,35
-131,30
-130,37
-129,39
-128,28
-127,28
-126,40
-125,41
-124,45
-123,26
-122,46
-121,30
-120,36
-119,50
-118,40
-117,46
-116,47
-115,35
-114,38
-113,36
-112,42
-111,39
-110,39
-109,41
-108,36
-107,43
-106,32
-105,29
-104,38
-103,36
-102,33
-101,34
-100,32
-99,45
-98,36
-97,40
-96,40
-95,24
-94,33
-93,43
-92,36
-91,28
-90,43
-89,36
-88,38
-87,29
-86,41
-85,38
-84,40
-83,42
-82,37
-81,43
-80,40
-79,26
-78,29
-77,43
-76,27
-75,46
-74,42
-73,42
-72,48
-71,42
-70,30
-69,31
-68,36
-67,39
-66,27
-65,40
-64,39
-63,34
-62,43
-61,33
-60,31
-59,44
-58,45
-57,40
-56,39
-55,39
-54,36
-53,41
-52,34
-51,25
-50,31
-49,29
-48,43
-47,35
-46,41
-45,38
-44,42
-43,35
-42,32
-41,39
-40,41
-39,38
-38,36
-37,46
-36,25
-35,45
-34,34
-33,45
-32,42
-31,51
-30,50
-29,49
-28,54
-27,49
-26,39
-25,36
-24,43
-23,43
-22,48
-21,48
-20,68
-19,72
-18,113
-17,114
-16,121
-15,80
-14,23
-13,7
-12,13
-11,28
-10,46
-9,86
-8,105
-7,98
-6,78
-5,55
-4,67
-3,92
-2,2
-1,0
