,0
1,16
2,14
3,29
4,14
5,19
6,24
7,12
8,22
9,18
10,11
11,16
12,18
13,19
14,23
15,23
16,11
17,14
18,16
19,14
20,9
21,7
22,9
23,10
24,20
25,13
26,22
27,14
28,17
29,6
30,10
31,9
32,16
33,18
34,14
35,17
36,15
37,21
38,11
39,13
40,15
41,6
42,13
43,13
44,9
45,11
46,13
47,11
48,12
49,13
50,11
51,19
52,7
53,17
54,11
55,8
56,10
57,11
58,11
59,11
60,16
61,11
62,13
63,14
64,16
65,11
66,12
67,13
68,13
69,15
70,19
71,17
72,20
73,10
74,12
75,16
76,14
77,8
78,15
79,17
80,20
81,18
82,11
83,16
84,10
85,13
86,18
87,8
88,17
89,15
90,7
91,16
92,15
93,17
94,16
95,21
96,16
97,9
98,14
99,16
100,15
101,18
102,19
103,9
104,9
105,16
106,5
107,13
108,14
109,12
110,16
111,9
112,7
113,12
114,19
115,13
116,13
117,15
118,13
119,16
120,22
121,12
122,13
123,12
124,10
125,12
126,16
127,9
128,16
129,15
130,13
131,18
132,15
133,20
134,19
135,15
136,9
137,11
138,11
139,11
140,11
141,20
142,10
143,14
144,11
145,13
146,23
147,18
148,10
149,15
150,15
151,12
152,15
153,22
154,16
155,10
156,14
157,10
158,19
159,19
160,17
161,20
162,11
163,9
164,20
165,17
166,17
167,8
168,20
169,8
170,14
171,23
172,13
173,21
174,14
175,17
176,20
177,17
178,13
179,16
180,21
181,12
182,21
183,21
184,9
185,20
186,12
187,9
188,19
189,17
190,8
191,17
192,8
193,11
194,13
195,16
196,10
197,18
198,21
199,12
200,15
