,0
1,27
2,28
3,33
4,30
5,31
6,29
7,24
8,28
9,32
10,37
11,33
12,26
13,25
14,36
15,40
16,33
17,36
18,31
19,38
20,36
21,28
22,30
23,40
24,28
25,35
26,32
27,25
28,26
29,35
30,38
31,31
32,29
33,37
34,39
35,32
36,32
37,31
38,41
39,27
40,26
41,26
42,39
43,37
44,29
45,29
46,32
47,34
48,43
49,34
50,50
51,37
52,37
53,39
54,23
55,26
56,27
57,36
58,29
59,27
60,28
61,31
62,26
63,26
64,32
65,33
66,27
67,34
68,26
69,33
70,41
71,26
72,20
73,34
74,29
75,38
76,37
77,26
78,27
79,40
80,24
81,34
82,35
83,22
84,24
85,35
86,36
87,35
88,38
89,16
90,30
91,26
92,23
93,27
94,38
95,23
96,35
97,26
98,29
99,29
100,22
101,25
102,30
103,29
104,35
105,32
106,21
107,19
108,27
109,33
110,22
111,31
112,29
113,28
114,20
115,24
116,29
117,36
118,27
119,23
120,25
121,33
122,35
123,23
124,18
125,23
126,23
127,32
128,32
129,27
130,32
131,24
132,32
133,35
134,30
135,32
136,20
137,28
138,32
139,32
140,20
141,26
142,23
143,25
144,23
145,25
146,26
147,25
148,18
149,31
150,27
151,22
152,27
153,31
154,19
155,24
156,31
157,27
158,20
159,18
160,37
161,31
162,19
163,28
164,35
165,16
166,26
167,20
168,28
169,21
170,29
171,25
172,28
173,30
174,19
175,30
176,14
177,32
178,28
179,31
180,17
181,24
182,22
183,28
184,35
185,20
186,28
187,24
188,31
189,27
190,37
191,15
192,15
193,27
194,19
195,24
196,28
197,25
198,25
199,25
200,22
