,0
1,15
2,31
3,31
4,19
5,27
6,34
7,22
8,31
9,29
10,25
11,19
12,18
13,18
14,26
15,23
16,22
17,19
18,28
19,19
20,32
21,29
22,17
23,28
24,20
25,24
26,27
27,23
28,18
29,17
30,19
31,27
32,21
33,15
34,32
35,20
36,24
37,27
38,25
39,21
40,22
41,25
42,24
43,19
44,18
45,16
46,14
47,19
48,19
49,19
50,12
51,22
52,24
53,16
54,24
55,15
56,21
57,11
58,20
59,20
60,24
61,14
62,27
63,21
64,21
65,27
66,19
67,28
68,18
69,28
70,27
71,22
72,16
73,20
74,26
75,15
76,21
77,18
78,28
79,16
80,15
81,21
82,18
83,24
84,20
85,12
86,17
87,20
88,24
89,22
90,28
91,12
92,23
93,15
94,20
95,19
96,23
97,38
98,20
99,20
100,14
101,19
102,18
103,16
104,16
105,23
106,17
107,23
108,18
109,20
110,21
111,14
112,33
113,21
114,13
115,23
116,25
117,13
118,22
119,20
120,25
121,19
122,21
123,25
124,25
125,19
126,16
127,15
128,24
129,20
130,15
131,25
132,22
133,18
134,20
135,17
136,14
137,23
138,16
139,17
140,17
141,24
142,26
143,15
144,16
145,30
146,18
147,16
148,23
149,23
150,21
151,24
152,20
153,27
154,16
155,32
156,14
157,30
158,14
159,16
160,24
161,20
162,17
163,24
164,20
165,26
166,25
167,23
168,18
169,14
170,22
171,27
172,19
173,26
174,29
175,15
176,18
177,26
178,24
179,26
180,27
181,20
182,27
183,30
184,19
185,22
186,31
187,18
188,27
189,29
190,19
191,21
192,20
193,21
194,21
195,18
196,19
197,16
198,26
199,18
200,20
